frame_id,num_total_objects,avg_confidence,min_confidence,scene_diversity_score,total_object_area_ratio,max_box_area,num_large_objects,num_vehicles,num_vrus,log_vehicle_to_vru_ratio,is_vru_present,num_anomalous_static,is_anomalous_static_object_present,num_objects_in_center_lane,avg_y_center_of_vehicles
frame_00941,8.0,0.5906221829354763,0.2603149116039276,4.0,0.437861036431077,0.22372699685284658,1.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,2.0,0.569914596421378
frame_00942,12.0,0.5290812576810519,0.26003074645996094,4.0,0.40235947021614715,0.2246231010404811,1.0,11.0,0.0,16.213405921671733,0.0,0.0,0.0,6.0,0.5550784956325184
frame_00943,11.0,0.4580095708370209,0.2793400287628174,4.0,0.3233271507231881,0.22459389412417163,1.0,10.0,0.0,16.118095750958314,0.0,0.0,0.0,6.0,0.53743696808815
frame_00944,9.0,0.4896898567676544,0.2549322247505188,4.0,0.33396559636506723,0.22461763354266395,1.0,8.0,0.0,15.894952224644102,0.0,0.0,0.0,4.0,0.5331616103649139
frame_00945,5.0,0.6422069072723389,0.4266967177391052,3.0,0.3366420574608233,0.2258434197804764,1.0,4.0,0.0,15.201805169084134,0.0,0.0,0.0,2.0,0.5404640212655067
frame_00946,6.0,0.5512181172768275,0.29307717084884644,4.0,0.36205465995672,0.22421028383509345,1.0,5.0,0.0,15.424948670398354,0.0,0.0,0.0,2.0,0.528791731595993
frame_00947,4.0,0.6559082120656967,0.4689333438873291,3.0,0.3412361522887829,0.2238487957113069,1.0,4.0,0.0,15.201805169084134,0.0,0.0,0.0,2.0,0.5306759923696518
frame_00948,4.0,0.5934283286333084,0.4017723798751831,2.0,0.34302265554325506,0.22353329481993534,1.0,4.0,0.0,15.201805169084134,0.0,0.0,0.0,2.0,0.5291657820343971
frame_00949,5.0,0.5292360067367554,0.3592150807380676,3.0,0.36618817306330964,0.223791139686087,1.0,4.0,0.0,15.201805169084134,0.0,0.0,0.0,2.0,0.537461057305336
frame_00950,6.0,0.5792862971623739,0.2746007442474365,4.0,0.35799443103092066,0.2242607720614469,1.0,5.0,0.0,15.424948670398354,0.0,0.0,0.0,2.0,0.5566235303878784
frame_00951,8.0,0.6483239606022835,0.4868435263633728,5.0,0.3643103071598208,0.21825969852541593,1.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,2.0,0.5399012054715838
frame_00952,7.0,0.5073733372347695,0.2773131728172302,4.0,0.290977017390003,0.17893427578019594,1.0,6.0,0.0,15.607270193858982,0.0,0.0,0.0,3.0,0.5531776895125707
frame_00953,5.0,0.6188971281051636,0.28642237186431885,3.0,0.2697833945173877,0.14050097769719194,0.0,5.0,0.0,15.424948670398354,0.0,0.0,0.0,2.0,0.5550726532936097
frame_00954,7.0,0.6038188551153455,0.27500155568122864,3.0,0.45373514188358915,0.3015500335118304,1.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,3.0,0.5953443348407745
frame_00955,7.0,0.6195947655609676,0.26950109004974365,3.0,0.3420052627693488,0.2996988342482432,1.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,4.0,0.5420040488243103
frame_00956,6.0,0.6607940544684728,0.30508333444595337,3.0,0.07214422546906724,0.024693500808054658,0.0,6.0,0.0,15.607270193858982,0.0,0.0,0.0,3.0,0.5567438205083212
frame_00957,8.0,0.531500805169344,0.2541528344154358,3.0,0.1014504526498699,0.03705600845005774,0.0,8.0,0.0,15.894952224644102,0.0,0.0,0.0,3.0,0.5543347522616386
frame_00958,11.0,0.5724177658557892,0.26006394624710083,3.0,0.22628181187170962,0.14169522602716356,0.0,11.0,0.0,16.213405921671733,0.0,0.0,0.0,3.0,0.5729123950004578
frame_00959,12.0,0.5593482901652654,0.26816511154174805,4.0,0.11408201810625507,0.043102193239276776,0.0,11.0,0.0,16.213405921671733,0.0,1.0,1.0,4.0,0.5597607601772655
